id,DadoPagamento_id,Usuario_id,taxaAdm
1,1,253,10
2,2,254,10
3,3,255,10
4,4,256,10
5,5,257,10
6,6,258,10
7,7,259,10
8,8,260,10
9,9,261,10
10,10,262,10
11,11,263,10
12,12,264,10
13,13,265,10
14,14,266,10
15,15,267,10
16,16,268,10
17,17,269,10
18,18,270,10
19,19,271,10
20,20,272,10
21,21,273,10
22,22,274,10
23,23,275,10
24,24,276,10
25,25,277,10
26,26,278,10
27,27,279,10
28,28,280,10
29,29,281,10
30,30,282,10
31,31,283,10
32,32,284,10
33,33,285,10
34,34,286,10
35,35,287,10
36,36,288,10
37,37,289,10
38,38,290,10
39,39,291,10
40,40,292,10
41,41,293,10
42,42,294,10
43,43,295,10
44,44,296,10
45,45,297,10
46,46,298,10
47,47,299,10
48,48,300,10
49,49,301,10
50,50,302,10
51,51,303,10
52,52,304,10
53,53,305,10
54,54,306,10
55,55,307,10
56,56,308,10
57,57,309,10
58,58,310,10
59,59,311,10
60,60,312,10
61,61,313,10
62,62,314,10
63,63,315,10
64,64,316,10
65,65,317,10
66,66,318,10
67,67,319,10
68,68,320,10
69,69,321,10
70,70,322,10
71,71,323,10
72,72,324,10
73,73,325,10
74,74,326,10
75,75,327,10
76,76,328,10
77,77,329,10
78,78,330,10
79,79,331,10
80,80,332,10
81,81,333,10
82,82,334,10
83,83,335,10
84,84,336,10
85,85,337,10
86,86,338,10
87,87,339,10
88,88,340,10
89,89,341,10
90,90,342,10
91,91,343,10
92,92,344,10
93,93,345,10
94,94,346,10
95,95,347,10
96,96,348,10
97,97,349,10
98,98,350,10
