id,nome,valorMensal,tipo,restricoes,endereco
1,Demizz,1272.65,Apartamento,xrymh,66 Rockefeller Trail
2,Skyble,536.33,Casa,dzmhh,2 Fair Oaks Street
3,Bluezoom,866.08,Apartamento,zwksr,7435 Anniversary Avenue
4,Dabtype,862.82,Apartamento,ubfnz,0384 Carioca Junction
5,Kamba,1154.38,Casa,ngfes,7 6th Alley
6,Realpoint,919.98,Apartamento,ycjix,395 Hovde Junction
7,Mudo,1558.5,Apartamento,xgwca,66 Rusk Road
8,Avaveo,1977.53,Apartamento,sudxb,7557 Rowland Circle
9,Feedfire,1667.01,Casa,znoee,73 Shelley Avenue
10,Demizz,485.89,Apartamento,ysueq,37 5th Parkway
11,Skaboo,893.27,Casa,ppndx,18 Browning Road
12,Fivespan,578.43,Casa,idprb,20 7th Pass
13,Quinu,604.73,Casa,oehls,10 Spaight Street
14,Fliptune,741.45,Apartamento,nuniu,6786 Carberry Road
15,Meejo,1380.84,Apartamento,swipw,91 Alpine Point
16,Twinte,638.79,Apartamento,fwmth,9724 Clyde Gallagher Park
17,Photojam,1465.02,Casa,cudfd,8158 Gulseth Point
18,Blogtags,850.46,Casa,krrzq,1 Di Loreto Street
19,Wikizz,1180.85,Casa,sxjie,454 Dixon Drive
20,Edgewire,993.64,Casa,lfhji,2 Crescent Oaks Hill
21,Mymm,1094.15,Casa,epchj,7 Bartillon Street
22,Yodo,907.38,Apartamento,gsqis,42406 Nelson Alley
23,Janyx,1806.2,Apartamento,wlhjw,1595 Brickson Park Crossing
24,Vidoo,1402.84,Apartamento,nxkvt,8395 Heffernan Avenue
25,Zoonder,1507.48,Casa,svfxh,6246 Blaine Plaza
26,Oyondu,802.29,Apartamento,ojdjp,88 Talmadge Point
27,Meemm,1788.53,Apartamento,rpwlx,2 Northview Circle
28,Trilith,1798.42,Apartamento,kqnqo,758 High Crossing Drive
29,Demivee,1747.2,Casa,xgfby,27 Atwood Place
30,Skyvu,475.84,Apartamento,pzuyq,05 Oneill Park
